code;intitulé;ICAO départ;ICAO arrivée;régime de vol
FR001;France ;LFMA;LFCM;VFR
FR002;France ;LFCM;LFCY;VFR
FR003;France ;LFCY;LFOV;VFR
FR004;France ;LFOV;LFEC;VFR
FR005;France ;LFEC;LFRG;VFR
FR006;France ;LFRG;LFQJ;VFR
FR007;France ;LFQJ;LFPN;VFR
FR008;France ;LFPN;LFEK;VFR
FR009;France ;LFEK;LFSU;VFR
FR010;France ;LFSU;LFGJ;VFR
FR011;France ;LFGJ;LFHT;VFR
FR012;France ;LFHT;LFKT;VFR
FR013;France ;LFKT;LFMA;VFR
SW001;Suisse ;LSGL;LSZL;VFR
SW002;Suisse ;LSZL;LSZT;VFR
SW003;Suisse ;LSZT;LSZS;VFR
SW004;Suisse ;LSZS;LSGE;VFR
SW005;Suisse ;LSGE;LSZR;VFR
SW006;Suisse ;LSZR;LSZJ;VFR
SW007;Suisse ;LSZJ;LSPM;VFR
SW008;Suisse ;LSPM;LSZI;VFR
SW009;Suisse ;LSZI;LSGP;VFR
SW010;Suisse ;LSGP;LSZE;VFR
SW011;Suisse ;LSZE;LSGL;VFR
IT001;Italie;LIRU;LIBF;VFR
IT002;Italie;LIBF;LINL;VFR
IT003;Italie;LINL;LIBC;VFR
IT004;Italie;LIBC;LICC;VFR
IT005;Italie;LICC;LICG;VFR
IT006;Italie;LICG;LICP;VFR
IT007;Italie;LICP;LICR;VFR
IT008;Italie;LICR;LIRI;VFR
IT009;Italie;LIRI;LIBP;VFR
IT010;Italie;LIBP;LIDG;VFR
IT011;Italie;LIDG;LIPD;VFR
IT012;Italie;LIPD;LIDT;VFR
IT013;Italie;LIDT;LIME;VFR
IT014;Italie;LIME;LIPV;VFR
IT015;Italie;LIPV;LIDU;VFR
IT016;Italie;LIDU;LILG;VFR
IT017;Italie;LILG;LIMA;VFR
IT018;Italie;LIMA;LIMJ;VFR
IT019;Italie;LIMJ;LILQ;VFR
IT020;Italie;LILQ;LIQB;VFR
IT021;Italie;LIQB;LIRJ;VFR
IT022;Italie;LIRJ;LIEO;VFR
IT023;Italie;LIEO;LIRU;VFR
SPPT001;Espagne Portugal;LELL;LECI;VFR
SPPT002;Espagne Portugal;LECI;LEVT;VFR
SPPT003;Espagne Portugal;LEVT;LEMR;VFR
SPPT004;Espagne Portugal;LEMR;LENF;VFR
SPPT005;Espagne Portugal;LENF;LEIR;VFR
SPPT006;Espagne Portugal;LEIR;LPMI;VFR
SPPT007;Espagne Portugal;LPMI;LPJF;VFR
SPPT008;Espagne Portugal;LPJF;LPFA;VFR
SPPT009;Espagne Portugal;LPFA;LEMF;VFR
SPPT010;Espagne Portugal;LEMF;LEAX;VFR
SPPT011;Espagne Portugal;LEAX;LELH;VFR
SPPT012;Espagne Portugal;LELH;LERE;VFR
SPPT013;Espagne Portugal;LERE;LERM;VFR
SPPT014;Espagne Portugal;LERM;LECH;VFR
SPPT015;Espagne Portugal;LECH;LESB;VFR
SPPT016;Espagne Portugal;LESB;LELL;VFR
GBX001;Allemagne Benelux;EHDR;EHSE;VFR
GBX002;Allemagne Benelux;EHSE;EBAM;VFR
